id	category	title
12940490	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
12940511	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
12989871	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
12940098	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
13019668	FOOTWEAR	Nike Blazer Mid '77 Vintage Women's Shoe
12916132	EQUIPMENT	Golden State Warriors Courtside Nike NBA Crew Socks
12530801	FOOTWEAR	Nike Air Zoom Victory Tour Men's Golf Shoe
12544568	FOOTWEAR	Nike Air Zoom Victory Tour Men's Golf Shoe
12530802	FOOTWEAR	Nike Air Zoom Victory Tour Men's Golf Shoe
12929754	FOOTWEAR	Nike Air Zoom Victory Tour Men's Golf Shoe
12787961	FOOTWEAR	Nike Air Zoom Victory Tour Men's Golf Shoe
10028431	FOOTWEAR	Nike SFB Jungle Tactical Boot
10872916	FOOTWEAR	Nike Cortez Basic Shoe
10872918	FOOTWEAR	Nike Cortez Basic Shoe
12707019	FOOTWEAR	Nike Cortez Basic Shoe
10872917	FOOTWEAR	Nike Cortez Basic Shoe
11253640	FOOTWEAR	Nike Cortez Basic Leather OG Men's Shoe
12950334	FOOTWEAR	Nike Air Max 97 Big Kids’ Shoe
12950333	FOOTWEAR	Nike Air Max 97 Big Kids’ Shoe
12914294	FOOTWEAR	Nike React Presto Men's Shoe
12954106	APPAREL	Kylian Mbappé Big Kids' Fleece Soccer Pants
12704196	FOOTWEAR	LeBron Soldier 13 SFG (Team) Basketball Shoe
12704420	FOOTWEAR	LeBron Soldier 13 SFG (Team) Basketball Shoe
12934904	FOOTWEAR	"LeBron 17 ""Cold Blue"" Basketball Shoe"
12847951	FOOTWEAR	"LeBron 17 ""Graffiti"" Basketball Shoe"
13046599	FOOTWEAR	Nike Air VaporMax Plus Men's Shoe
12926411	FOOTWEAR	Nike Mercurial Vapor 13 Pro FG Firm-Ground Soccer Cleat
12926307	FOOTWEAR	Nike Mercurial Vapor 13 Pro FG Firm-Ground Soccer Cleat
12627311	FOOTWEAR	Nike Mercurial Vapor 13 Pro FG Firm-Ground Soccer Cleat
12787371	FOOTWEAR	Nike Mercurial Vapor 13 Pro FG Firm-Ground Soccer Cleat
12996013	APPAREL	Nike College Dri-FIT DNA (Oklahoma) Men's Shorts
12861910	APPAREL	Chelsea FC 2020/21 Vapor Match Away Men's Soccer Jersey
13142075	EQUIPMENT	Nike Tech Fleece Gloves
13143941	EQUIPMENT	Nike Tech Fleece Gloves
12858562	APPAREL	Jordan Photo Men's T-Shirt
13097224	APPAREL	Jordan AJ4 Men's Graphic Fleece Shorts
13068400	FOOTWEAR	Nike Air Force 1 '07 Men's Shoe
13008139	FOOTWEAR	Nike Air Force 1 '07 Men's Shoe
13014299	APPAREL	Golden State Warriors City Edition Men's Nike Dri-FIT NBA T-Shirt
13009263	FOOTWEAR	Nike Air Max 90 Slide
12786032	FOOTWEAR	Nike Air Max 90 Slide
12855589	FOOTWEAR	Nike Air Max 90 Slide
12767743	FOOTWEAR	Nike Air Max 95 Men's Shoe
12995749	APPAREL	Jordan College Spotlight (Michigan) Men's Pants
13010667	FOOTWEAR	Air Jordan 1 Mid SE Women's Shoe
12715584	FOOTWEAR	Nike Air VaporMax 2019 Utility Men's Shoe
12715617	FOOTWEAR	Nike Air VaporMax 2019 Utility Men's Shoe
12940471	FOOTWEAR	"Kyrie Low 3 ""Harmony"" Basketball Shoe"
12990791	FOOTWEAR	Nike Air Max 1 Men's Shoe
13026023	FOOTWEAR	Nike Free Metcon 3 Women's Training Shoe
12935325	FOOTWEAR	Nike Free Metcon 3 Women's Training Shoe
12935178	FOOTWEAR	Nike Free Metcon 3 Women's Training Shoe
12831848	FOOTWEAR	Nike React Presto Big Kids' Shoe
12634443	FOOTWEAR	Nike React Presto Big Kids' Shoe
12871528	FOOTWEAR	Nike React Presto Big Kids' Shoe
12871623	FOOTWEAR	Nike React Presto Big Kids' Shoe
12799295	FOOTWEAR	Nike React Presto Big Kids' Shoe
10006099	FOOTWEAR	Nike Benassi JDI Women's Slide
12125129	FOOTWEAR	Nike Benassi JDI Women's Slide
10006097	FOOTWEAR	Nike Benassi JDI Women's Slide
12624366	FOOTWEAR	Nike Benassi JDI Women's Slide
10070695	FOOTWEAR	Nike Benassi JDI Women's Slide
12849476	FOOTWEAR	Nike Benassi JDI Women's Slide
12989965	FOOTWEAR	Nike Benassi JDI Women's Slide
12125736	FOOTWEAR	Nike Benassi JDI Women's Slide
12558136	FOOTWEAR	Jordan Big Fund Men's Shoe
13146503	FOOTWEAR	Nike Air Force 1 Big Kids' Shoe
13146502	FOOTWEAR	Nike Air Force 1 Big Kids' Shoe
12951291	FOOTWEAR	Nike Air Force 1 LV8 1 Big Kids' Shoe
12936209	APPAREL	Atlético de Madrid 2020/21 Vapor Match Third Men's Soccer Jersey
12975431	FOOTWEAR	Nike Air Zoom Pegasus 37 Men's Running Shoe (Extra Wide)
13030065	APPAREL	Nike Player (NFL Giants) Men's Lightweight Jacket
12160283	FOOTWEAR	Air Jordan Future Men's Shoe
12799147	FOOTWEAR	Nike Kawa SE MC Little/Big Kids' Slide
10872044	FOOTWEAR	Nike Kawa Little/Big Kids' Slide
12995890	APPAREL	Nike College Dri-FIT DNA (West Virginia) Men's Shorts
13014100	FOOTWEAR	Nike Air Max 90 Twist Women's Shoe
12907666	APPAREL	Nigeria 2020 Stadium Away Men's Soccer Shorts
12544749	FOOTWEAR	Jordan ADG Men's Golf Shoe
12544748	FOOTWEAR	Jordan ADG Men's Golf Shoe
12847330	EQUIPMENT	Nike Tech Grip Kids' Knit Gloves
12862390	APPAREL	Nike Sportswear Women's Woven Jacket
12789897	FOOTWEAR	Nike React Sertu Men's Shoe
12723318	FOOTWEAR	Nike React Sertu Men's Shoe
12723323	FOOTWEAR	Nike React Sertu Men's Shoe
12789896	FOOTWEAR	Nike React Sertu Men's Shoe
12847967	FOOTWEAR	Nike React Sertu Men's Shoe
12848284	FOOTWEAR	Nike React Sertu Men's Shoe
12847666	FOOTWEAR	Nike React Sertu Men's Shoe
12626754	FOOTWEAR	Nike React Sertu Men's Shoe
13060995	APPAREL	Nike Sportswear Women's Woven Jacket (Plus Size)
12806193	APPAREL	Nike Yoga Women's 7/8 Tights (Plus Size)
13026402	FOOTWEAR	Nike Alpha Huarache Elite 3 Turf Women's Softball Shoe
12946238	FOOTWEAR	Nike Alpha Huarache Elite 3 Turf Women's Softball Shoe
12994044	FOOTWEAR	Nike Alpha Huarache Elite 3 Turf Women's Softball Shoe
12973941	APPAREL	Nike Sportswear Big Kids' Pants
12937640	APPAREL	Nike Sportswear Big Kids' Pants
12836042	FOOTWEAR	Nike Air VaporMax Plus Men's Shoe
12437418	APPAREL	Denver Nuggets Nike x Filip Pagowski Men's NBA T-Shirt
13011002	APPAREL	Golden State Warriors City Edition Courtside Women's Nike NBA Pullover Hoodie
13014998	APPAREL	Houston Rockets City Edition Logo Men's Nike NBA Pullover Hoodie
12914759	FOOTWEAR	Nike Air Max 1 Men's Shoe
12788919	FOOTWEAR	Nike Air Max 90 Men's Shoe
12789093	FOOTWEAR	Nike Air Max 90 Men's Shoe
12789080	FOOTWEAR	Nike Air Max 90 Men's Shoe
12789178	FOOTWEAR	Nike Air Max 90 Men's Shoe
12940151	FOOTWEAR	Nike Air Max 95 Men's Shoe
13012309	APPAREL	Nike F.C. South Mexico City Men's Soccer T-Shirt
12238240	FOOTWEAR	"Jordan ""Why Not?"" ZER0.1 Men's Basketball Shoe"
12995907	APPAREL	Nike College Dri-FIT DNA (Oregon) Men's Shorts
12816269	APPAREL	Portugal 2020 Stadium Home Big Kids' Soccer Jersey
13053032	FOOTWEAR	Air Jordan 1 Mid SE Men's Shoe
13025641	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
13025851	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
13036691	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
13025830	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
12718992	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
12718991	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
12719328	FOOTWEAR	Nike Alpha Huarache 7 Elite Lacrosse Cleat
13026654	APPAREL	Nike Swoosh Run Women's 7/8 Running Tights (Plus Size)
13026656	APPAREL	Nike Swoosh Run Women's 7/8 Running Tights (Plus Size)
13009294	FOOTWEAR	Nike Air Max Excee Men's Shoe
13009064	FOOTWEAR	Nike Air Max Excee Men's Shoe
12926472	FOOTWEAR	Nike Air Max Excee Men's Shoe
12926550	FOOTWEAR	Nike Air Max Excee Men's Shoe
12926471	FOOTWEAR	Nike Air Max Excee Men's Shoe
12865272	FOOTWEAR	Nike Air Max Excee Men's Shoe
12865274	FOOTWEAR	Nike Air Max Excee Men's Shoe
12868502	FOOTWEAR	Nike Air Max Excee Men's Shoe
12786238	FOOTWEAR	Nike Air Max Excee Men's Shoe
12786240	FOOTWEAR	Nike Air Max Excee Men's Shoe
12786242	FOOTWEAR	Nike Air Max Excee Men's Shoe
12786254	FOOTWEAR	Nike Air Max Excee Men's Shoe
13019981	EQUIPMENT	Nigeria SNKR Sox Shox Crew Socks (2 Pairs)
13100539	APPAREL	Nike Sportswear Club Fleece N7 Men's Pullover Hoodie
12907909	APPAREL	Nike Spotlight Men's Basketball Pants
12907244	APPAREL	Nike Spotlight Men's Basketball Pants
12800903	APPAREL	Nike Sportswear Women's Capri Pants
12859987	EQUIPMENT	U.S. Prestige Soccer Ball
12459363	FOOTWEAR	Nike PhantomVNM Pro FG Game Over Firm-Ground Soccer Cleat
12459362	FOOTWEAR	Nike PhantomVNM Pro FG Game Over Firm-Ground Soccer Cleat
12942346	APPAREL	NikeCourt Flex Ace Men's Tennis Shorts
13029447	FOOTWEAR	Nike Air Force 1 LV8 Big Kids' Shoe
13029502	FOOTWEAR	Nike Air Force 1 LV8 Big Kids' Shoe
13029532	FOOTWEAR	Nike Air Force 1 LV8 Big Kids' Shoe
13025792	FOOTWEAR	"Kybrid S2 ""Best Of"" Basketball Shoe"
12844331	EQUIPMENT	FFF Skills Soccer Ball
13049173	APPAREL	Los Angeles Lakers Showtime City Edition Men's Nike Therma Flex NBA Hoodie
12437433	APPAREL	San Antonio Spurs Nike x Filip Pagowski Men's NBA T-Shirt
12295493	FOOTWEAR	Nike Air Precision 2 NBK Men's Basketball Shoe
13072027	APPAREL	Indiana Pacers City Edition Nike NBA Swingman Jersey
12916008	EQUIPMENT	Nike Air SNKR SOX Crew Socks (2 Pairs)
12994839	EQUIPMENT	Nike Air SNKR SOX Crew Socks (2 Pairs)
12788822	FOOTWEAR	Zoom Freak 1 Multi Basketball Shoe
12715603	FOOTWEAR	Nike Cortez Basic SE Men's Shoe
12715604	FOOTWEAR	Nike Cortez Basic SE Men's Shoe
13037389	APPAREL	Nike Sportswear Big Kids' (Boys') Swoosh Crew
12545234	FOOTWEAR	Nike Free X Metcon 2 Men's Training Shoe
12647758	FOOTWEAR	Nike Free X Metcon 2 Men's Training Shoe
12545126	FOOTWEAR	Nike Free X Metcon 2 Men's Training Shoe
12545127	FOOTWEAR	Nike Free X Metcon 2 Men's Training Shoe
12951617	APPAREL	Boston Celtics Essential Women's Nike NBA Full-Zip Hoodie
12990764	FOOTWEAR	Nike Air Max 90 Men's Shoe
12927738	APPAREL	Chelsea FC 2020/21 Vapor Match Third Men's Soccer Jersey
11255616	FOOTWEAR	Nike Cortez Basic Shoe
13009774	FOOTWEAR	Nike Air Force 1 GTX Boot Boot
13009775	FOOTWEAR	Nike Air Force 1 GTX Boot Boot
13009773	FOOTWEAR	Nike Air Force 1 GTX Boot Boot
12626701	FOOTWEAR	Nike Air Max 95 SE Men's Shoe
12325265	FOOTWEAR	Nike Air Max 95 SE Men's Shoe
13071793	APPAREL	Dallas Mavericks City Edition Nike NBA Swingman Jersey
12967931	APPAREL	Jordan Flight Men’s Warmup Jacket
12926620	FOOTWEAR	Nike Air Max 270 XX Women's Shoe
12938015	FOOTWEAR	Nike Tiempo Legend 8 Elite Tech Craft FG Firm-Ground Soccer Cleat
12944252	APPAREL	Nike Sportswear Tech Fleece Big Kids' (Girls') Pants
12937609	APPAREL	Nike Sportswear Tech Fleece Big Kids' (Girls') Pants
12933009	APPAREL	Nike Sportswear Tech Fleece Big Kids' (Girls') Pants
12861622	FOOTWEAR	Nike React Presto Men's Shoe
12860235	FOOTWEAR	Nike React Presto Men's Shoe
12861499	FOOTWEAR	Nike React Presto Men's Shoe
12789903	FOOTWEAR	Nike React Presto Men's Shoe
12723226	FOOTWEAR	Nike React Presto Men's Shoe
12790000	FOOTWEAR	Nike React Presto Men's Shoe
12720498	FOOTWEAR	Nike React Presto Men's Shoe
12626682	FOOTWEAR	Nike React Presto Men's Shoe
12790001	FOOTWEAR	Nike React Presto Men's Shoe
12914727	FOOTWEAR	Nike Blazer Mid '77 Vintage Men's Shoe
12860083	APPAREL	Portugal Men's Soccer T-Shirt
12860081	APPAREL	Portugal Men's Soccer T-Shirt
12907594	FOOTWEAR	Nike Air Max 95 Men's Shoe
13061872	APPAREL	Air Jordan Big Kids' (Boys') Top
13061821	APPAREL	Air Jordan Big Kids' (Boys') Top
12965864	FOOTWEAR	Nike Air Flight 89 EMB Men's Shoe
12938779	APPAREL	Nike Dri-FIT Icon Clash Women's 7/8 Training Pants
12975887	APPAREL	Liverpool FC Club Men's Pullover Hoodie
13068408	FOOTWEAR	Nike Blazer Mid '77 Infinite Women's Shoe
13068407	FOOTWEAR	Nike Blazer Mid '77 Infinite Women's Shoe
13068218	FOOTWEAR	Nike Blazer Mid '77 Infinite Women's Shoe
13009238	FOOTWEAR	Nike Victori One Men's Slide
13009253	FOOTWEAR	Nike Victori One Men's Slide
13009266	FOOTWEAR	Nike Victori One Men's Slide
13009267	FOOTWEAR	Nike Victori One Men's Slide
13009261	FOOTWEAR	Nike Victori One Men's Slide
13009247	FOOTWEAR	Nike Victori One Men's Slide
13009252	FOOTWEAR	Nike Victori One Men's Slide
13015431	APPAREL	Miami Heat Showtime City Edition Men's Nike Therma Flex NBA Hoodie
13026665	FOOTWEAR	Nike Woodside 2 High ACG Big Kids' Boot
13026666	FOOTWEAR	Nike Woodside 2 High ACG Big Kids' Boot
12724837	FOOTWEAR	Nike Woodside 2 High ACG Big Kids' Boot
12724838	FOOTWEAR	Nike Woodside 2 High ACG Big Kids' Boot
